DATAYEAR,MONTH,UTILITYNUMBER,NETSUMMERCAPACITY(MW),NETWINTERCAPACITY(MW),NAMEPLATECAPACITY(MW),is_coal,is_geothermal,is_hydroelectric,is_natural_gas,is_nuclear,is_oil,is_other/unreported,is_solar,is_wind,MW_COAL,MW_GEOTHERMAL,MW_HYDROELECTRIC,MW_NATURAL_GAS,MW_NUCLEAR,MW_OIL,MW_OTHER,MW_SOLAR,MW_WIND,TOTALREVENUE,TOTALSALES,TOTALCUSTOMERS
2016,1,13337,2893.0,2893.0,2893.0,0.19047619047619047,0.0,0.23809523809523808,0.23809523809523808,0.047619047619047616,0.23809523809523808,0.0,0.0,0.047619047619047616,1580.0,0.0,26.2,377.9,764.0,85.5,0.0,0.0,59.4,22198.039999999994,300339.93400000007,90640
2016,1,13407,4857.5,4857.5,4857.5,0.02,0.0,0.0,0.96,0.0,0.0,0.0,0.02,0.0,257.0,0.0,0.0,4585.5,0.0,0.0,0.0,15.0,0.0,138886.0,1520071.0,898557
2016,1,13478,785.4,785.4,785.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.4,0.0,0.0,0.0,0.0,0.0,35686.336,455247.462,197002
2016,1,13511,68.09999999999998,68.09999999999998,68.09999999999998,0.0,0.0,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,61.09999999999999,5.3,0.0,1.7,0.0,0.0,0.0,63372.82599999999,634796.681,678004
2016,1,13697,5.6,5.6,5.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,431.482,3237.318,5012
2016,1,13718,42.4,42.4,42.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,5393.0,62744.0,38361
2016,1,13756,3319.0,3319.0,3319.0,0.35,0.0,0.35,0.3,0.0,0.0,0.0,0.0,0.0,2574.0,0.0,10.000000000000002,735.0,0.0,0.0,0.0,0.0,0.0,129379.84199999999,1412291.8999999994,463289
2016,1,13781,7444.000000000001,7444.000000000001,7444.000000000001,0.03225806451612903,0.0,0.5161290322580645,0.23387096774193547,0.024193548387096774,0.10483870967741936,0.07258064516129033,0.0,0.016129032258064516,2733.0,0.0,141.3,2461.0,1594.0,383.4,87.0,0.0,44.3,299298.29599999974,2966630.2269999986,1448930
2016,1,13809,229.60000000000002,229.60000000000002,229.60000000000002,0.0,0.0,0.0,0.38461538461538464,0.0,0.5384615384615384,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,115.4,0.0,34.2,0.0,0.0,80.0,12469.0,154088.0,62798
2016,1,13815,24.8,24.8,24.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,0.0,1792.1850000000004,15260.893000000004,10886
2016,1,14015,962.8,962.8,962.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,21250.0,1
2016,1,14063,8096.7,8096.7,8096.7,0.14285714285714285,0.0,0.0,0.7428571428571429,0.0,0.0,0.0,0.02857142857142857,0.08571428571428572,2515.5,0.0,0.0,5130.5,0.0,0.0,0.0,2.5,448.2,139129.911,2271061.4469999988,826050
2016,1,14127,3083.8000000000015,3083.8000000000015,3083.8000000000015,0.2692307692307692,0.0,0.0,0.5769230769230769,0.038461538461538464,0.11538461538461539,0.0,0.0,0.0,1833.1000000000001,0.0,0.0,646.4000000000001,478.1,126.20000000000002,0.0,0.0,0.0,71544.0,885294.0,366898
